Wk;Day;Date;Time;Home;xG;Score;xG;Away;Venue
28;Sun;07/04/2024;15:00;Montpellier;2.4;2–0;1.4;Lorient;Stade de la Mosson
28;Sun;07/04/2024;17:05;Monaco;2.0;1–0;1.3;Rennes;Stade Louis II
28;Sun;07/04/2024;20:45;Nantes;1.2;1–3;2.4;Lyon;Stade de la Beaujoire - Louis Fonteneau
29;Fri;12/04/2024;21:00;Metz;0.8;2–1;1.5;Lens;Stade Saint-Symphorien
29;Sat;13/04/2024;17:00;Strasbourg;2.2;3–1;0.5;Reims;Stade de la Meinau
29;Sat;13/04/2024;21:00;Rennes;1.0;1–2;0.5;Toulouse;Roazhon Park
29;Sun;14/04/2024;13:00;Le Havre;1.4;0–1;0.8;Nantes;Stade Océane
29;Sun;14/04/2024;15:00;Clermont Foot;1.5;1–1;1.4;Montpellier;Stade Gabriel Montpied
29;Sun;14/04/2024;20:45;Lyon;2.1;4–3;1.7;Brest;Groupama Stadium
30;Fri;19/04/2024;21:00;Nice;2.5;3–0;0.5;Lorient;Stade de Nice
30;Sat;20/04/2024;17:00;Nantes;0.2;0–3;2.4;Rennes;Stade de la Beaujoire - Louis Fonteneau
30;Sat;20/04/2024;21:00;Lens;1.9;1–0;0.7;Clermont Foot;Stade Bollaert-Delelis
30;Sun;21/04/2024;15:00;Reims;1.5;1–2;1.6;Montpellier;Stade Auguste-Delaune
30;Sun;21/04/2024;15:00;Le Havre;0.7;0–1;1.3;Metz;Stade Océane
30;Sun;21/04/2024;15:00;Lille;0.8;1–0;1.3;Strasbourg;Decathlon Arena - Stade Pierre-Mauroy
30;Sun;21/04/2024;17:05;Brest;0.6;0–2;0.9;Monaco;Stade Francis-Le Blé
30;Sun;21/04/2024;19:00;Toulouse;0.5;2–2;1.1;Marseille;Stadium Municipal
30;Sun;21/04/2024;21:00;Paris S-G;2.3;4–1;1.0;Lyon;Parc des Princes
29;Wed;24/04/2024;19:00;Lorient;0.9;1–4;1.6;Paris S-G;Stade du Moustoir
29;Wed;24/04/2024;21:00;Marseille;2.2;2–2;1.4;Nice;Orange Vélodrome
29;Wed;24/04/2024;21:00;Monaco;1.6;1–0;1.3;Lille;Stade Louis II
31;Fri;26/04/2024;21:00;Montpellier;0.8;1–1;1.3;Nantes;Stade de la Mosson
